year	magic25	NASDAQ	SP500
1992	14.8	22	13.4
1993	43.3	17	8.4
1994	9.4	.8	-.9
1995	53	37.9	30.9
1996	15.7	20.8	21.9
1997	32.1	25.9	28.4
1998	5.1	16.3	21.1
1999	79.3	65.1	18.8
