NonWhite Male	 Rate	 Lambda	 Heart Diseases	 Stroke	 COPD	 Motor Accidents	 Other Accidents	 Pneumonia/Influenza	 Diabetes	 AIDS	 Suicide	 Cirrhosis	 Homicide	 Residual	 Esophagus, Mouth, Pharynx	 Stomach	 Colorectal	 Lung	 Ovary	 Prostate	 Breast	 Pancreas	 Other Cancers
NonWhite Male 56	0.0163400000	0.0164749701	0.0046562417	0.0009069605	0.0003348653	0.0002686992	0.0005107705	0.0003356722	0.0005591847	0.0011421731	0.0000000000	0.0004337111	0.0003058168	0.0027059538	0.0002812101	0.0001900130	0.0003961731	0.0013430542	0.0000000000	0.0006938715	0.0000073913	0.0001963809	0.0012068270
NonWhite Male 57	0.0176800000	0.0178381581	0.0050415130	0.0009820051	0.0003625731	0.0002909321	0.0005530331	0.0003634467	0.0006054533	0.0012366799	0.0000000000	0.0004695976	0.0003311209	0.0029298525	0.0003044783	0.0002057352	0.0004289537	0.0014541825	0.0000000000	0.0007512845	0.0000080029	0.0002126300	0.0013066835
NonWhite Male 58	0.0190200000	0.0192032070	0.0054273102	0.0010571522	0.0003903186	0.0003131954	0.0005953535	0.0003912592	0.0006517851	0.0013313158	0.0000000000	0.0005055332	0.0003564597	0.0031540568	0.0003277782	0.0002214789	0.0004617790	0.0015654625	0.0000000000	0.0008087759	0.0000086153	0.0002289013	0.0014066762
NonWhite Male 59	0.0203700000	0.0205803296	0.0058165198	0.0011329639	0.0004183096	0.0003356557	0.0006380482	0.0004193176	0.0006985267	0.0014267886	0.0000000000	0.0005417866	0.0003820225	0.0033802442	0.0003512842	0.0002373619	0.0004948946	0.0016777267	0.0000000000	0.0008667758	0.0000092331	0.0002453166	0.0015075534
NonWhite Male 60	0.0217600000	0.0220002403	0.0062178223	0.0012111311	0.0004471703	0.0003588138	0.0006820694	0.0004482478	0.0007467205	0.0015252279	0.0000000000	0.0005791664	0.0004083796	0.0036134593	0.0003755206	0.0002537383	0.0005290391	0.0017934791	0.0000000000	0.0009265777	0.0000098701	0.0002622418	0.0016115650
NonWhite Male 61	0.0232800000	0.0235552596	0.0066573099	0.0012967362	0.0004787772	0.0003841754	0.0007302794	0.0004799308	0.0007995002	0.0016330339	0.0000000000	0.0006201030	0.0004372447	0.0038688656	0.0004020631	0.0002716731	0.0005664326	0.0019202457	0.0000000000	0.0009920700	0.0000105678	0.0002807776	0.0017254735
NonWhite Male 62	0.0249600000	0.0252767832	0.0071438559	0.0013915075	0.0005137683	0.0004122527	0.0007836515	0.0005150063	0.0008579312	0.0017523833	0.0000000000	0.0006654228	0.0004692005	0.0041516196	0.0004314477	0.0002915281	0.0006078301	0.0020605858	0.0000000000	0.0010645749	0.0000113401	0.0003012981	0.0018515788
NonWhite Male 63	0.0268400000	0.0272067704	0.0076893189	0.0014977549	0.0005529967	0.0004437299	0.0008434865	0.0005543292	0.0009234378	0.0018861851	0.0000000000	0.0007162306	0.0005050259	0.0044686129	0.0004643905	0.0003137875	0.0006542404	0.0022179201	0.0000000000	0.0011458596	0.0000122060	0.0003243034	0.0019929545
NonWhite Male 64	0.0288900000	0.0293155318	0.0082853080	0.0016138439	0.0005958587	0.0004781228	0.0009088640	0.0005972945	0.0009950123	0.0020323808	0.0000000000	0.0007717447	0.0005441698	0.0048149693	0.0005003848	0.0003381088	0.0007049497	0.0023898282	0.0000000000	0.0012346737	0.0000131520	0.0003494398	0.0021474258
NonWhite Male 65	0.0310800000	0.0315732298	0.0102049718	0.0022979806	0.0012427579	0.0001718326	0.0004356382	0.0012369255	0.0010628497	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0058306433	0.0005923854	0.0004002733	0.0008345615	0.0028292211	0.0000000000	0.0014616804	0.0000155702	0.0004136876	0.0025422507
