White Male	 Rate	 Lambda	 Heart Diseases	 Stroke	 COPD	 Motor Accidents	 Other Accidents	 Pneumonia/Influenza	 Diabetes	 AIDS	 Suicide	 Cirrhosis	 Homicide	 Residual	 Esophagus, Mouth, Pharynx	 Stomach	 Colorectal	 Lung	 Ovary	 Prostate	 Breast	 Pancreas	 Other Cancers
White Male 18	0.0012700000	0.0012708071	0.0000293223	0.0000057597	0.0000047125	0.0004708023	0.0001615718	0.0000054605	0.0000000000	0.0000090510	0.0002325587	0.0000000000	0.0001564105	0.0001387573	0.0000025760	0.0000014306	0.0000056335	0.0000184515	0.0000000000	0.0000064783	0.0000000675	0.0000026125	0.0000191506
White Male 19	0.0013200000	0.0013208720	0.0000304775	0.0000059866	0.0000048982	0.0004893501	0.0001679371	0.0000056757	0.0000000000	0.0000094076	0.0002417206	0.0000000000	0.0001625724	0.0001442238	0.0000026775	0.0000014870	0.0000058555	0.0000191784	0.0000000000	0.0000067335	0.0000000702	0.0000027154	0.0000199050
White Male 20	0.0013500000	0.0013509121	0.0000311706	0.0000061228	0.0000050096	0.0005004792	0.0001717564	0.0000058047	0.0000000000	0.0000096215	0.0002472179	0.0000000000	0.0001662698	0.0001475038	0.0000027384	0.0000015208	0.0000059886	0.0000196145	0.0000000000	0.0000068867	0.0000000718	0.0000027772	0.0000203577
White Male 21	0.0014000000	0.0014009809	0.0000323259	0.0000063497	0.0000051952	0.0005190284	0.0001781222	0.0000060199	0.0000000000	0.0000099781	0.0002563806	0.0000000000	0.0001724322	0.0001529707	0.0000028398	0.0000015772	0.0000062106	0.0000203415	0.0000000000	0.0000071419	0.0000000744	0.0000028801	0.0000211123
White Male 22	0.0014300000	0.0014310234	0.0000330191	0.0000064859	0.0000053066	0.0005301584	0.0001819419	0.0000061490	0.0000000000	0.0000101921	0.0002618784	0.0000000000	0.0001761298	0.0001562510	0.0000029007	0.0000016110	0.0000063438	0.0000207777	0.0000000000	0.0000072951	0.0000000760	0.0000029419	0.0000215650
White Male 23	0.0014500000	0.0014510523	0.0000334812	0.0000065767	0.0000053809	0.0005375786	0.0001844884	0.0000062350	0.0000000000	0.0000103348	0.0002655437	0.0000000000	0.0001785950	0.0001584379	0.0000029413	0.0000016336	0.0000064326	0.0000210685	0.0000000000	0.0000073972	0.0000000771	0.0000029831	0.0000218668
White Male 24	0.0014700000	0.0014710815	0.0000339434	0.0000066674	0.0000054552	0.0005449989	0.0001870349	0.0000063211	0.0000000000	0.0000104774	0.0002692090	0.0000000000	0.0001810602	0.0001606249	0.0000029819	0.0000016561	0.0000065214	0.0000213593	0.0000000000	0.0000074993	0.0000000781	0.0000030242	0.0000221687
White Male 25	0.0014900000	0.0014911112	0.0001804512	0.0000244169	0.0000000000	0.0001713897	0.0001684376	0.0000160934	0.0000227358	0.0002108340	0.0001831779	0.0000497358	0.0000702370	0.0002306586	0.0000074421	0.0000041332	0.0000162755	0.0000533070	0.0000000000	0.0000187161	0.0000001950	0.0000075476	0.0000553268
White Male 26	0.0015000000	0.0015011261	0.0001816632	0.0000245809	0.0000000000	0.0001725409	0.0001695689	0.0000162015	0.0000228885	0.0002122500	0.0001844082	0.0000500699	0.0000707087	0.0002322078	0.0000074921	0.0000041609	0.0000163848	0.0000536650	0.0000000000	0.0000188418	0.0000001963	0.0000075983	0.0000556984
White Male 27	0.0015300000	0.0015311716	0.0001852993	0.0000250729	0.0000000000	0.0001759943	0.0001729628	0.0000165258	0.0000233466	0.0002164983	0.0001880992	0.0000510720	0.0000721240	0.0002368555	0.0000076420	0.0000042442	0.0000167127	0.0000547391	0.0000000000	0.0000192189	0.0000002003	0.0000077504	0.0000568132
White Male 28	0.0016000000	0.0016012814	0.0001937838	0.0000262209	0.0000000000	0.0001840528	0.0001808825	0.0000172825	0.0000244156	0.0002264114	0.0001967119	0.0000534105	0.0000754264	0.0002477007	0.0000079920	0.0000044385	0.0000174780	0.0000572455	0.0000000000	0.0000200989	0.0000002094	0.0000081053	0.0000594146
White Male 29	0.0016700000	0.0016713960	0.0002022690	0.0000273690	0.0000000000	0.0001921118	0.0001888027	0.0000180392	0.0000254847	0.0002363251	0.0002053253	0.0000557492	0.0000787291	0.0002585467	0.0000083419	0.0000046329	0.0000182433	0.0000597521	0.0000000000	0.0000209790	0.0000002186	0.0000084602	0.0000620161
White Male 30	0.0017700000	0.0017715683	0.0002143916	0.0000290094	0.0000000000	0.0002036257	0.0002001183	0.0000191204	0.0000270121	0.0002504889	0.0002176311	0.0000590904	0.0000834476	0.0002740422	0.0000088418	0.0000049106	0.0000193367	0.0000633332	0.0000000000	0.0000222364	0.0000002317	0.0000089672	0.0000657330
White Male 31	0.0018600000	0.0018617319	0.0002253030	0.0000304858	0.0000000000	0.0002139892	0.0002103033	0.0000200935	0.0000283868	0.0002632375	0.0002287074	0.0000620978	0.0000876946	0.0002879896	0.0000092919	0.0000051605	0.0000203208	0.0000665566	0.0000000000	0.0000233681	0.0000002435	0.0000094236	0.0000690784
White Male 32	0.0019500000	0.0019519037	0.0002362154	0.0000319623	0.0000000000	0.0002243537	0.0002204892	0.0000210667	0.0000297617	0.0002759872	0.0002397847	0.0000651055	0.0000919421	0.0003019382	0.0000097419	0.0000054104	0.0000213050	0.0000697802	0.0000000000	0.0000244999	0.0000002553	0.0000098800	0.0000724242
White Male 33	0.0020400000	0.0020420836	0.0002471288	0.0000334390	0.0000000000	0.0002347190	0.0002306760	0.0000220400	0.0000311368	0.0002887381	0.0002508630	0.0000681134	0.0000961899	0.0003158880	0.0000101920	0.0000056604	0.0000222894	0.0000730041	0.0000000000	0.0000256318	0.0000002671	0.0000103365	0.0000757703
White Male 34	0.0021300000	0.0021322717	0.0002580432	0.0000349159	0.0000000000	0.0002450853	0.0002408638	0.0000230134	0.0000325119	0.0003014901	0.0002619423	0.0000711217	0.0001004381	0.0003298391	0.0000106421	0.0000059104	0.0000232738	0.0000762283	0.0000000000	0.0000267638	0.0000002789	0.0000107930	0.0000791167
White Male 35	0.0022200000	0.0022224679	0.0002689585	0.0000363928	0.0000000000	0.0002554526	0.0002510524	0.0000239869	0.0000338872	0.0003142433	0.0002730226	0.0000741301	0.0001046867	0.0003437915	0.0000110923	0.0000061604	0.0000242583	0.0000794528	0.0000000000	0.0000278959	0.0000002907	0.0000112496	0.0000824633
White Male 36	0.0023300000	0.0023327187	0.0002823009	0.0000381982	0.0000000000	0.0002681249	0.0002635065	0.0000251768	0.0000355682	0.0003298321	0.0002865665	0.0000778075	0.0001098799	0.0003608461	0.0000116425	0.0000064660	0.0000254616	0.0000833943	0.0000000000	0.0000292798	0.0000003051	0.0000118076	0.0000865541
White Male 37	0.0024300000	0.0024329572	0.0002944315	0.0000398396	0.0000000000	0.0002796464	0.0002748295	0.0000262587	0.0000370966	0.0003440052	0.0002988805	0.0000811510	0.0001146015	0.0003763519	0.0000121428	0.0000067438	0.0000265557	0.0000869778	0.0000000000	0.0000305380	0.0000003182	0.0000123150	0.0000902734
White Male 38	0.0025100000	0.0025131553	0.0003041370	0.0000411528	0.0000000000	0.0002888645	0.0002838888	0.0000271242	0.0000383195	0.0003553447	0.0003087325	0.0000838260	0.0001183791	0.0003887577	0.0000125431	0.0000069661	0.0000274311	0.0000898448	0.0000000000	0.0000315446	0.0000003287	0.0000127210	0.0000932491
White Male 39	0.0025900000	0.0025933599	0.0003138431	0.0000424662	0.0000000000	0.0002980832	0.0002929488	0.0000279899	0.0000395424	0.0003666852	0.0003185854	0.0000865012	0.0001221571	0.0004011644	0.0000129434	0.0000071884	0.0000283065	0.0000927121	0.0000000000	0.0000325513	0.0000003392	0.0000131269	0.0000962251
White Male 40	0.0026800000	0.0026835976	0.0003247635	0.0000439438	0.0000000000	0.0003084553	0.0003031422	0.0000289638	0.0000409183	0.0003794442	0.0003296708	0.0000895111	0.0001264076	0.0004151232	0.0000133938	0.0000074386	0.0000292915	0.0000959381	0.0000000000	0.0000336839	0.0000003510	0.0000135837	0.0000995733
White Male 41	0.0028000000	0.0028039273	0.0003393256	0.0000459142	0.0000000000	0.0003222861	0.0003167347	0.0000302625	0.0000427530	0.0003964581	0.0003444529	0.0000935246	0.0001320756	0.0004337369	0.0000139943	0.0000077721	0.0000306049	0.0001002399	0.0000000000	0.0000351943	0.0000003668	0.0000141928	0.0001040380
White Male 42	0.0029600000	0.0029643895	0.0003587444	0.0000485418	0.0000000000	0.0003407297	0.0003348607	0.0000319944	0.0000451997	0.0004191465	0.0003641651	0.0000988768	0.0001396340	0.0004585586	0.0000147952	0.0000082169	0.0000323563	0.0001059764	0.0000000000	0.0000372084	0.0000003877	0.0000150050	0.0001099919
White Male 43	0.0031800000	0.0031850669	0.0003854503	0.0000521553	0.0000000000	0.0003660946	0.0003597887	0.0000343761	0.0000485645	0.0004503489	0.0003912746	0.0001062375	0.0001500287	0.0004926950	0.0000158966	0.0000088286	0.0000347650	0.0001138656	0.0000000000	0.0000399783	0.0000004166	0.0000161220	0.0001181800
White Male 44	0.0034300000	0.0034358959	0.0004158052	0.0000562627	0.0000000000	0.0003949251	0.0003881226	0.0000370833	0.0000523890	0.0004858146	0.0004220881	0.0001146039	0.0001618437	0.0005314955	0.0000171485	0.0000095238	0.0000375028	0.0001228327	0.0000000000	0.0000431266	0.0000004494	0.0000173916	0.0001274868
White Male 45	0.0037400000	0.0037470113	0.0011827494	0.0001193504	0.0001166718	0.0000871866	0.0001060579	0.0000510754	0.0001046683	0.0000790702	0.0001129056	0.0001298032	0.0000000000	0.0004938361	0.0000531467	0.0000295164	0.0001162291	0.0003806842	0.0000000000	0.0001336585	0.0000013928	0.0000539003	0.0003951085
White Male 46	0.0040700000	0.0040783050	0.0012873228	0.0001299028	0.0001269874	0.0000948953	0.0001154351	0.0000555912	0.0001139226	0.0000860612	0.0001228882	0.0001412798	0.0000000000	0.0005374988	0.0000578457	0.0000321261	0.0001265056	0.0004143425	0.0000000000	0.0001454760	0.0000015160	0.0000586659	0.0004300422
White Male 47	0.0044100000	0.0044197527	0.0013951012	0.0001407787	0.0001376191	0.0001028402	0.0001250997	0.0000602455	0.0001234605	0.0000932665	0.0001331767	0.0001531081	0.0000000000	0.0005824998	0.0000626887	0.0000348158	0.0001370970	0.0004490325	0.0000000000	0.0001576556	0.0000016429	0.0000635776	0.0004660465
White Male 48	0.0047600000	0.0047713649	0.0015060881	0.0001519783	0.0001485674	0.0001110216	0.0001350519	0.0000650383	0.0001332824	0.0001006863	0.0001437716	0.0001652886	0.0000000000	0.0006288404	0.0000676758	0.0000375855	0.0001480037	0.0004847552	0.0000000000	0.0001701979	0.0000017736	0.0000686355	0.0005031227
White Male 49	0.0051100000	0.0051231007	0.0016171140	0.0001631819	0.0001595195	0.0001192059	0.0001450077	0.0000698328	0.0001431077	0.0001081087	0.0001543701	0.0001774733	0.0000000000	0.0006751973	0.0000726648	0.0000403563	0.0001589143	0.0005204904	0.0000000000	0.0001827446	0.0000019043	0.0000736952	0.0005402120
White Male 50	0.0055100000	0.0055252360	0.0017440486	0.0001759907	0.0001720409	0.0001285629	0.0001563900	0.0000753143	0.0001543408	0.0001165946	0.0001664874	0.0001914040	0.0000000000	0.0007281966	0.0000783686	0.0000435240	0.0001713882	0.0005613460	0.0000000000	0.0001970890	0.0000020538	0.0000794799	0.0005826157
