White Male	 Rate	 Lambda	 Heart Diseases	 Stroke	 COPD	 Motor Accidents	 Other Accidents	 Pneumonia/Influenza	 Diabetes	 AIDS	 Suicide	 Cirrhosis	 Homicide	 Residual	 Esophagus, Mouth, Pharynx	 Stomach	 Colorectal	 Lung	 Ovary	 Prostate	 Breast	 Pancreas	 Other Cancers
White Male 71	0.0375000000	0.0382212128	0.0135803641	0.0024957801	0.0023791635	0.0002118115	0.0005282719	0.0015973845	0.0008996525	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0068701032	0.0004411402	0.0002449987	0.0009647516	0.0031598418	0.0000000000	0.0011094228	0.0000115610	0.0004473958	0.0032795696
White Male 72	0.0407200000	0.0415722759	0.0147710290	0.0027145988	0.0025877578	0.0002303822	0.0005745884	0.0017374360	0.0009785299	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0074724428	0.0004798174	0.0002664791	0.0010493367	0.0034368824	0.0000000000	0.0012066920	0.0000125746	0.0004866214	0.0035671075
White Male 73	0.0442200000	0.0452275179	0.0160697716	0.0029532799	0.0028152864	0.0002506385	0.0006251091	0.0018902000	0.0010645672	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0081294572	0.0005220053	0.0002899092	0.0011415996	0.0037390702	0.0000000000	0.0013127904	0.0000136803	0.0005294076	0.0038807453
White Male 74	0.0480100000	0.0492007484	0.0174814986	0.0032127251	0.0030626089	0.0002726571	0.0006800248	0.0020562538	0.0011580892	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0088436288	0.0005678634	0.0003153777	0.0012418890	0.0040675470	0.0000000000	0.0014281188	0.0000148821	0.0005759160	0.0042216682
White Male 75	0.0521400000	0.0535484670	0.0190262847	0.0034966237	0.0033332422	0.0002967510	0.0007401165	0.0022379586	0.0012604260	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0096251130	0.0006180437	0.0003432467	0.0013516309	0.0044269836	0.0000000000	0.0015543173	0.0000161972	0.0006268079	0.0045947240
White Male 76	0.0566100000	0.0582755081	0.0207058478	0.0038052914	0.0036274873	0.0003229469	0.0008054510	0.0024355165	0.0013716913	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0104747789	0.0006726021	0.0003735471	0.0014709474	0.0048177797	0.0000000000	0.0016915261	0.0000176270	0.0006821400	0.0050003276
White Male 77	0.0615200000	0.0634937338	0.0225599335	0.0041460327	0.0039523072	0.0003518649	0.0008775743	0.0026536025	0.0014945181	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0114127331	0.0007328296	0.0004069960	0.0016026620	0.0052491833	0.0000000000	0.0018429922	0.0000192054	0.0007432216	0.0054480773
White Male 78	0.0669200000	0.0692643369	0.0246102843	0.0045228432	0.0043115111	0.0003838440	0.0009573323	0.0028947742	0.0016303468	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0124499749	0.0007994326	0.0004439857	0.0017483193	0.0057262532	0.0000000000	0.0020104918	0.0000209508	0.0008107690	0.0059432236
White Male 79	0.0728800000	0.0756722720	0.0268870851	0.0049412705	0.0047103872	0.0004193550	0.0010458992	0.0031625819	0.0017811770	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0136017744	0.0008733914	0.0004850607	0.0019100636	0.0062560130	0.0000000000	0.0021964909	0.0000228891	0.0008857766	0.0064930562
White Male 80	0.0795000000	0.0828382783	0.0294332360	0.0054091985	0.0051564510	0.0004590671	0.0011449437	0.0034620718	0.0019498508	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0148898341	0.0009560998	0.0005309949	0.0020909427	0.0068484444	0.0000000000	0.0024044940	0.0000250566	0.0009696578	0.0071079351
White Male 81	0.0869200000	0.0909317790	0.0323089346	0.0059376903	0.0056602488	0.0005039191	0.0012568074	0.0038003246	0.0021403559	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0163446070	0.0010495130	0.0005828744	0.0022952329	0.0075175540	0.0000000000	0.0026394189	0.0000275047	0.0010643957	0.0078023976
White Male 82	0.0953200000	0.1001739890	0.0355927806	0.0065411909	0.0062355505	0.0005551369	0.0013845480	0.0041865856	0.0023578994	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0180058556	0.0011561844	0.0006421172	0.0025285179	0.0082816303	0.0000000000	0.0029076866	0.0000303003	0.0011725798	0.0085954251
White Male 83	0.1048900000	0.1108086632	0.0393713825	0.0072356170	0.0068975292	0.0006140713	0.0015315344	0.0046310420	0.0026082188	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0199173939	0.0012789273	0.0007102856	0.0027969505	0.0091608250	0.0000000000	0.0032163725	0.0000335170	0.0012970633	0.0095079329
White Male 84	0.1159900000	0.1232869042	0.0438050214	0.0080504249	0.0076742648	0.0006832223	0.0017040016	0.0051525469	0.0029019322	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0221603055	0.0014229482	0.0007902714	0.0031119170	0.0101924319	0.0000000000	0.0035785705	0.0000372914	0.0014431265	0.0105786278
White Male 85	0.1296030000	0.1388058496	0.0493190517	0.0090637856	0.0086402757	0.0007692241	0.0019184957	0.0058011323	0.0032672177	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0249497710	0.0016020642	0.0008897481	0.0035036348	0.0114754213	0.0000000000	0.0040290291	0.0000419855	0.0016247824	0.0119102303
White Male 86	0.1399260000	0.1507368469	0.0535582497	0.0098428594	0.0093829469	0.0008353424	0.0020833991	0.0062997662	0.0035480500	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0270943179	0.0017397690	0.0009662260	0.0038047882	0.0124617862	0.0000000000	0.0043753425	0.0000455944	0.0017644399	0.0129339691
White Male 87	0.1509100000	0.1635900912	0.0581251309	0.0106821543	0.0101830254	0.0009065716	0.0022610494	0.0068369436	0.0038505902	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0294046348	0.0018881181	0.0010486156	0.0041292203	0.0135243955	0.0000000000	0.0047484255	0.0000494822	0.0019148927	0.0140368412
White Male 88	0.1625650000	0.1774116302	0.0630360565	0.0115846773	0.0110433775	0.0009831668	0.0024520828	0.0074145892	0.0041759222	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0318889987	0.0020476430	0.0011372119	0.0044780934	0.0146670562	0.0000000000	0.0051496145	0.0000536629	0.0020766798	0.0152227978
White Male 89	0.1748990000	0.1922494759	0.0683080856	0.0125535633	0.0119669919	0.0010653940	0.0026571631	0.0080347093	0.0045251760	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0345560394	0.0022188979	0.0012323228	0.0048526194	0.0158937374	0.0000000000	0.0055803032	0.0000581510	0.0022503632	0.0164959585
White Male 90	0.1879140000	0.2081490331	0.0739573510	0.0135917773	0.0129566948	0.0011535050	0.0028769178	0.0086992017	0.0048994204	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0374139183	0.0024024068	0.0013342392	0.0052539443	0.0172081930	0.0000000000	0.0060418095	0.0000629602	0.0024364743	0.0178602194
White Male 91	0.2016090000	0.2251568266	0.0800003834	0.0147023573	0.0140153824	0.0012477576	0.0031119898	0.0094100108	0.0052997506	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0404709980	0.0025987067	0.0014432595	0.0056832424	0.0186142691	0.0000000000	0.0065354839	0.0000681047	0.0026355579	0.0193195724
White Male 92	0.2159780000	0.2433181978	0.0864532930	0.0158882639	0.0151458769	0.0013484029	0.0033630060	0.0101690316	0.0057272337	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0437354286	0.0028083210	0.0015596742	0.0061416584	0.0201157144	0.0000000000	0.0070626425	0.0000735981	0.0028481446	0.0208779081
White Male 93	0.2310110000	0.2626786139	0.0933322348	0.0171524661	0.0163510086	0.0014556931	0.0036305947	0.0109781642	0.0061829399	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0472153824	0.0030317743	0.0016837749	0.0066303397	0.0217162876	0.0000000000	0.0076246049	0.0000794541	0.0030747666	0.0225391278
White Male 94	0.2466940000	0.2832837592	0.1006534409	0.0184979470	0.0176336213	0.0015698812	0.0039153873	0.0118393179	0.0066679447	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0509190711	0.0032695940	0.0018158542	0.0071504396	0.0234197657	0.0000000000	0.0082226974	0.0000856867	0.0033159588	0.0243071515
White Male 95	0.2625590000	0.3045691940	0.1082163603	0.0198878496	0.0189585800	0.0016878392	0.0042095825	0.0127289031	0.0071689621	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0547450390	0.0035152655	0.0019522943	0.0076877108	0.0251794850	0.0000000000	0.0088405362	0.0000921251	0.0035651140	0.0261335474
White Male 96	0.2785050000	0.3264298308	0.1159836546	0.0213153120	0.0203193435	0.0018089849	0.0045117278	0.0136425277	0.0076835187	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0586743971	0.0037675758	0.0020924214	0.0082395009	0.0269867577	0.0000000000	0.0094750709	0.0000987374	0.0038210022	0.0280092984
White Male 97	0.2944230000	0.3487393712	0.1239104486	0.0227720869	0.0217080499	0.0019326183	0.0048200776	0.0145749135	0.0082086415	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0626844437	0.0040250672	0.0022354259	0.0088026218	0.0288311423	0.0000000000	0.0101226358	0.0001054855	0.0040821450	0.0299235676
White Male 98	0.3101980000	0.3713506791	0.1319444635	0.0242485668	0.0231155406	0.0020579240	0.0051325983	0.0155199110	0.0087408674	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0667487317	0.0042860416	0.0023803648	0.0093733598	0.0307004748	0.0000000000	0.0107789598	0.0001123249	0.0043468201	0.0318637300
White Male 99	0.3257080000	0.3940920275	0.1400246830	0.0257335382	0.0245311259	0.0021839503	0.0054469163	0.0164703434	0.0092761542	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0708363940	0.0045485168	0.0025261373	0.0099473801	0.0325805580	0.0000000000	0.0114390585	0.0001192036	0.0046130174	0.0338150505
White Male 100	0.3419930000	0.4185397094	0.1487111793	0.0273299301	0.0260529257	0.0023194327	0.0057848183	0.0174920888	0.0098516047	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0752307626	0.0048306862	0.0026828474	0.0105644704	0.0346017081	0.0000000000	0.0121486858	0.0001265985	0.0048991881	0.0359127828
White Male 101	0.3590930000	0.4448709184	0.1580669108	0.0290493132	0.0276919697	0.0024653530	0.0061487533	0.0185925527	0.0104713898	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0799636873	0.0051345947	0.0028516310	0.0112291034	0.0367785740	0.0000000000	0.0129129850	0.0001345631	0.0052074063	0.0381721312
White Male 102	0.3770470000	0.4732842045	0.1681624243	0.0309046524	0.0294606173	0.0026228117	0.0065414656	0.0197800332	0.0111401829	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0850708566	0.0054625341	0.0030337607	0.0119462906	0.0391275703	0.0000000000	0.0137377194	0.0001431574	0.0055399960	0.0406101320
White Male 103	0.3959000000	0.5040155318	0.1790815601	0.0329113558	0.0313735564	0.0027931163	0.0069662166	0.0210643918	0.0118635381	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0905946842	0.0058172278	0.0032307491	0.0127219881	0.0416682047	0.0000000000	0.0146297381	0.0001524529	0.0058997195	0.0432470323
White Male 104	0.4156950000	0.5373321722	0.1909192824	0.0350868756	0.0334474241	0.0029777480	0.0074267002	0.0224567989	0.0126477466	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0965832110	0.0062017606	0.0034443093	0.0135629421	0.0444225734	0.0000000000	0.0155967990	0.0001625304	0.0062897052	0.0461057653
White Male 105	0.4364790000	0.5735506791	0.2037880659	0.0374518824	0.0357019248	0.0031784611	0.0079272919	0.0239704840	0.0135002593	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.1030933362	0.0066197860	0.0036764707	0.0144771429	0.0474168465	0.0000000000	0.0166480905	0.0001734857	0.0067136584	0.0492134928
White Male 106	0.4583030000	0.6130484745	0.2178220120	0.0400310212	0.0381605520	0.0033973471	0.0084732080	0.0256212209	0.0144299600	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.1101928997	0.0070756602	0.0039296523	0.0154741171	0.0506822265	0.0000000000	0.0177945679	0.0001854328	0.0071759972	0.0526025996
White Male 107	0.4812180000	0.6562715226	0.2331795762	0.0428534126	0.0408510658	0.0036368774	0.0090706124	0.0274276478	0.0154473458	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.1179620619	0.0075745304	0.0042067128	0.0165651214	0.0542555823	0.0000000000	0.0190491758	0.0001985068	0.0076819416	0.0563113515
White Male 108	0.5052790000	0.7037613117	0.2500531544	0.0459544150	0.0438071723	0.0039000528	0.0097269893	0.0294123953	0.0165651624	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.1264981529	0.0081226463	0.0045111233	0.0177638236	0.0581816801	0.0000000000	0.0204276317	0.0002128714	0.0082378301	0.0603862109
White Male 109	0.5305430000	0.7561785713	0.2686775103	0.0493771727	0.0470700000	0.0041905349	0.0104514709	0.0316030771	0.0177989620	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.1359199361	0.0087276339	0.0048471189	0.0190869014	0.0625151440	0.0000000000	0.0219491141	0.0002287264	0.0088513968	0.0648838717
White Male 110	0.5570700000	0.8143435350	0.2893440806	0.0531752458	0.0506906062	0.0045128693	0.0112553940	0.0340339736	0.0191680513	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.1463748451	0.0093989601	0.0052199574	0.0205550585	0.0673237847	0.0000000000	0.0236374315	0.0002463199	0.0095322428	0.0698747141
White Male 111	0.5849240000	0.8792936430	0.3124214779	0.0574163772	0.0547335687	0.0048728050	0.0121530976	0.0367484426	0.0206968496	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.1580493554	0.0101485989	0.0056362888	0.0221944812	0.0726933700	0.0000000000	0.0255226970	0.0002659658	0.0102925119	0.0754477555
White Male 112	0.6141700000	0.9523584210	0.3383820954	0.0621873828	0.0592816466	0.0052777100	0.0131629574	0.0398020491	0.0224166513	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.1711824437	0.0109918952	0.0061046354	0.0240387284	0.0787338151	0.0000000000	0.0276435018	0.0002880662	0.0111477667	0.0817170758
White Male 113	0.6448780000	1.0352938866	0.3678498630	0.0676029274	0.0644441473	0.0057373157	0.0143092444	0.0432681827	0.0243687897	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.1860897469	0.0119491167	0.0066362533	0.0261321242	0.0855902942	0.0000000000	0.0300508167	0.0003131522	0.0121185621	0.0888333501
White Male 114	0.6771220000	1.1304807361	0.4016706650	0.0738184666	0.0703692623	0.0062648152	0.0156248630	0.0472463400	0.0266093016	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.2031991850	0.0130477408	0.0072464028	0.0285347604	0.0934596253	0.0000000000	0.0328137448	0.0003419440	0.0132327653	0.0970008539
White Male 115	0.7109780000	1.2412524692	0.4410289259	0.0810516721	0.0772644927	0.0068786819	0.0171558870	0.0518758386	0.0292166512	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.2231099408	0.0143262419	0.0079564517	0.0313307787	0.1026173972	0.0000000000	0.0360290454	0.0003754499	0.0145293963	0.1065056179
White Male 116	0.7465270000	1.3724979705	0.4876617133	0.0896217797	0.0854341579	0.0076060086	0.0189698878	0.0573610003	0.0323059132	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.2467007709	0.0158410464	0.0087977378	0.0346435808	0.1134677859	0.0000000000	0.0398386251	0.0004151486	0.0160656816	0.1177671329
White Male 117	0.7838540000	1.5318011737	0.5442636716	0.1000240076	0.0953503365	0.0084888234	0.0211716862	0.0640187814	0.0360555984	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.2753348555	0.0176796862	0.0098188744	0.0386645947	0.1266377738	0.0000000000	0.0444626178	0.0004633341	0.0179303944	0.1314361378
White Male 118	0.8230460000	1.7318654672	0.6153484369	0.1130878652	0.1078037789	0.0095975250	0.0239368613	0.0723800965	0.0407647199	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.3112955756	0.0199887809	0.0111012903	0.0437144699	0.1431775815	0.0000000000	0.0502697567	0.0005238489	0.0202722333	0.1486026464
White Male 119	0.8641980000	1.9965573364	0.7093960007	0.1303717934	0.1242801071	0.0110643750	0.0275952821	0.0834424009	0.0469950479	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.3588728323	0.0230437917	0.0127979701	0.0503956267	0.1650603099	0.0000000000	0.0579527991	0.0006039120	0.0233705660	0.1713145215
