White Female	            Rate	 	Lambda	 	Heart Diseases	Stroke	 	COPD	 	Motor Accidents Other Accidents Pneumonia/Influenza Diabetes	AIDS	 	Suicide	 	Cirrhosis	Homicide	Residual	Esophagus, Mouth, Pharynx Stomach Colorectal	Lung	 	Ovary	 	Prostate	Breast	 	Pancreas	Other Cancers
White Female 00	0.0062800000	0.0062998021	0.0002104858	0.0000000000	0.0000000000	0.0009638033	0.0012222946	0.0002031003	0.0000000000	0.0001107820	0.0000000000	0.0000000000	0.0003803515	0.0026956949	0.0000104136	0.0000097169	0.0000564893	0.0001235016	0.0000271223	0.0000000000	0.0000847340	0.0000278053	0.0001735069
White Female 01	0.0005200000	0.0005201352	0.0000173785	0.0000000000	0.0000000000	0.0000795752	0.0001009172	0.0000167687	0.0000000000	0.0000091466	0.0000000000	0.0000000000	0.0000314032	0.0002225667	0.0000008598	0.0000008023	0.0000046640	0.0000101968	0.0000022393	0.0000000000	0.0000069960	0.0000022957	0.0000143254
White Female 02	0.0004000000	0.0004000800	0.0000133673	0.0000000000	0.0000000000	0.0000612080	0.0000776240	0.0000128982	0.0000000000	0.0000070354	0.0000000000	0.0000000000	0.0000241549	0.0001711949	0.0000006613	0.0000006171	0.0000035875	0.0000078432	0.0000017224	0.0000000000	0.0000053812	0.0000017658	0.0000110189
White Female 03	0.0003100000	0.0003100481	0.0000103592	0.0000000000	0.0000000000	0.0000474341	0.0000601559	0.0000099957	0.0000000000	0.0000054522	0.0000000000	0.0000000000	0.0000187192	0.0001326700	0.0000005125	0.0000004782	0.0000027802	0.0000060782	0.0000013348	0.0000000000	0.0000041702	0.0000013685	0.0000085392
White Female 04	0.0002500000	0.0002500313	0.0000083539	0.0000000000	0.0000000000	0.0000382521	0.0000485113	0.0000080608	0.0000000000	0.0000043968	0.0000000000	0.0000000000	0.0000150957	0.0001069888	0.0000004133	0.0000003857	0.0000022420	0.0000049016	0.0000010764	0.0000000000	0.0000033630	0.0000011036	0.0000068863
White Female 05	0.0002100000	0.0002100221	0.0000093574	0.0000000000	0.0000023394	0.0000556247	0.0000267726	0.0000044188	0.0000000000	0.0000028592	0.0000057184	0.0000000000	0.0000103105	0.0000624694	0.0000006117	0.0000005708	0.0000033183	0.0000072547	0.0000015932	0.0000000000	0.0000049774	0.0000016333	0.0000101921
White Female 06	0.0001900000	0.0001900181	0.0000084662	0.0000000000	0.0000021165	0.0000503266	0.0000242226	0.0000039979	0.0000000000	0.0000025869	0.0000051738	0.0000000000	0.0000093284	0.0000565194	0.0000005535	0.0000005164	0.0000030022	0.0000065637	0.0000014415	0.0000000000	0.0000045034	0.0000014778	0.0000092214
White Female 07	0.0001600000	0.0001600128	0.0000071293	0.0000000000	0.0000017823	0.0000423796	0.0000203977	0.0000033666	0.0000000000	0.0000021784	0.0000043568	0.0000000000	0.0000078554	0.0000475946	0.0000004661	0.0000004349	0.0000025282	0.0000055273	0.0000012138	0.0000000000	0.0000037922	0.0000012444	0.0000077652
White Female 08	0.0001500000	0.0001500113	0.0000066837	0.0000000000	0.0000016709	0.0000397307	0.0000191227	0.0000031562	0.0000000000	0.0000020422	0.0000040845	0.0000000000	0.0000073644	0.0000446197	0.0000004369	0.0000004077	0.0000023701	0.0000051818	0.0000011380	0.0000000000	0.0000035552	0.0000011666	0.0000072799
White Female 09	0.0001300000	0.0001300085	0.0000057925	0.0000000000	0.0000014481	0.0000344329	0.0000165729	0.0000027353	0.0000000000	0.0000017699	0.0000035398	0.0000000000	0.0000063824	0.0000386700	0.0000003787	0.0000003533	0.0000020541	0.0000044908	0.0000009862	0.0000000000	0.0000030812	0.0000010111	0.0000063092
White Female 10	0.0001200000	0.0001200072	0.0000053469	0.0000000000	0.0000013367	0.0000317841	0.0000152979	0.0000025249	0.0000000000	0.0000016338	0.0000032675	0.0000000000	0.0000058914	0.0000356952	0.0000003495	0.0000003262	0.0000018961	0.0000041454	0.0000009104	0.0000000000	0.0000028441	0.0000009333	0.0000058238
White Female 11	0.0001200000	0.0001200072	0.0000053469	0.0000000000	0.0000013367	0.0000317841	0.0000152979	0.0000025249	0.0000000000	0.0000016338	0.0000032675	0.0000000000	0.0000058914	0.0000356952	0.0000003495	0.0000003262	0.0000018961	0.0000041454	0.0000009104	0.0000000000	0.0000028441	0.0000009333	0.0000058238
White Female 12	0.0001400000	0.0001400098	0.0000062381	0.0000000000	0.0000015595	0.0000370818	0.0000178478	0.0000029458	0.0000000000	0.0000019061	0.0000038121	0.0000000000	0.0000068734	0.0000416448	0.0000004078	0.0000003805	0.0000022121	0.0000048363	0.0000010621	0.0000000000	0.0000033182	0.0000010889	0.0000067945
White Female 13	0.0002000000	0.0002000200	0.0000089118	0.0000000000	0.0000022279	0.0000529756	0.0000254976	0.0000042083	0.0000000000	0.0000027230	0.0000054461	0.0000000000	0.0000098195	0.0000594944	0.0000005826	0.0000005436	0.0000031603	0.0000069092	0.0000015173	0.0000000000	0.0000047404	0.0000015556	0.0000097068
White Female 14	0.0002700000	0.0002700365	0.0000120313	0.0000000000	0.0000030078	0.0000715196	0.0000344230	0.0000056815	0.0000000000	0.0000036762	0.0000073525	0.0000000000	0.0000132567	0.0000803202	0.0000007865	0.0000007339	0.0000042665	0.0000093278	0.0000020485	0.0000000000	0.0000063998	0.0000021001	0.0000131046
