Specific Risk Factors	Risk Coefficient
Sleep_Male_Stroke_9_9_9	1.189596057
Sleep_Male_Stroke___10	1.876918224
Sleep_Male_Cancer__4	2.532062004
Sleep_Male_Cancer_4_4_9	1.663398397
Sleep_Male_Cancer_5_5_9	1.386165331
Sleep_Male_Cancer_6_6_9	0.998039038
Sleep_Male_Cancer_7_7_9	0.92411022
Sleep_Male_Cancer_8_8_9	0.998039038
Sleep_Male_Cancer_9_9_9	1.127414469
Sleep_Male_Cancer___10	1.386165331
Sleep_Male_Suicide__4	1.729427928
Sleep_Male_Suicide_4_4_9	1.729427928
Sleep_Male_Suicide_5_5_9	1.729427928
Sleep_Male_Suicide_6_6_9	1.07101628
Sleep_Male_Suicide_7_7_9	0.877882197
Sleep_Male_Suicide_8_8_9	0.992006883
Sleep_Male_Suicide_9_9_9	1.07101628
Sleep_Male_Suicide___10	1.82599497
Sleep_Female_Heart_Diseases__4	1.016160649
Sleep_Female_Heart_Diseases_4_4_9	0.960733705
Sleep_Female_Heart_Diseases_5_5_9	1.043874122
Sleep_Female_Heart_Diseases_6_6_9	0.979209353
Sleep_Female_Heart_Diseases_7_7_9	0.923782409
Sleep_Female_Heart_Diseases_8_8_9	1.043874122
Sleep_Female_Heart_Diseases_9_9_9	0.988447177
Sleep_Female_Heart_Diseases___10	1.542716622
Sleep_Female_Stroke__4	0.755697328
Sleep_Female_Stroke_4_4_9	0.755697328
Sleep_Female_Stroke_5_5_9	0.789283876
Sleep_Female_Stroke_6_6_9	1.08316617
Sleep_Female_Stroke_7_7_9	0.839663698
Sleep_Female_Stroke_8_8_9	1.049579622
Sleep_Female_Stroke_9_9_9	1.242702273
Sleep_Female_Stroke___10	1.721310581
Sleep_Female_Cancer__4	1.500980862
Sleep_Female_Cancer_4_4_9	1.244484133
Sleep_Female_Cancer_5_5_9	1.035486798
Sleep_Female_Cancer_6_6_9	0.997487282
Sleep_Female_Cancer_7_7_9	0.949987888
Sleep_Female_Cancer_8_8_9	1.006987161
Sleep_Female_Cancer_9_9_9	1.10198595
Sleep_Female_Cancer___10	1.253984012
Sleep_Female_Suicide__4	1.407970762
Sleep_Female_Suicide_4_4_9	1.407970762
Sleep_Female_Suicide_5_5_9	1.407970762
Sleep_Female_Suicide_6_6_9	1.407970762
Sleep_Female_Suicide_7_7_9	0.748920618
Sleep_Female_Suicide_8_8_9	0.98108601
Sleep_Female_Suicide_9_9_9	1.348057113
Sleep_Female_Suicide___10	1.348057113
