caldt,vwretd
19390228,0.039093
19390331,-0.134548
19390429,-0.006929
19390531,0.069279
19390630,-0.062024
19390731,0.111162
19390831,-0.067436
19390930,0.182654
19391031,-0.017198
19391130,-0.040461
19391230,0.028146
19400131,-0.036117
19400229,0.013149
19400330,0.013646
19400430,-0.004534
19400531,-0.231311
19400629,0.082702
19400731,0.033241
19400831,0.035620
19400930,0.014510
19401031,0.041618
19401130,-0.028936
19401231,0.002711
19410131,-0.045645
19410228,-0.004542
19410331,0.009235
19410430,-0.061914
19410531,0.013650
19410630,0.058951
19410731,0.056957
19410830,-0.001222
19410930,-0.007128
19411031,-0.064079
19411129,-0.024500
19411231,-0.038678
19420131,0.021095
19420228,-0.018213
19420331,-0.063936
19420430,-0.038146
19420529,0.071003
19420630,0.023475
19420731,0.036096
19420831,0.015200
19420930,0.032481
19421031,0.067372
19421130,-0.003489
19421231,0.057095
19430130,0.072102
19430227,0.058243
19430331,0.058927
19430430,0.003567
19430529,0.052484
19430630,0.021918
19430731,-0.052624
19430831,0.016013
19430930,0.027532
19431030,-0.011481
19431130,-0.066517
19431231,0.070094
19440131,0.018386
19440229,0.006444
19440331,0.021052
19440429,-0.012279
19440531,0.048665
19440630,0.054089
19440731,-0.019549
19440831,0.014436
19440930,-0.000660
19441031,0.002735
19441130,0.017345
19441230,0.044711
19450131,0.012216
19450228,0.069358
19450331,-0.042067
19450430,0.090489
19450531,0.020101
19450630,0.001620
19450731,-0.021263
19450831,0.059271
19450929,0.046081
19451031,0.030070
19451130,0.044880
19451231,0.010179
19460131,0.071129
19460228,-0.065373
19460330,0.047706
19460430,0.036035
19460531,0.029694
19460628,-0.035536
19460731,-0.027425
19460830,-0.068450
19460930,-0.102551
19461031,-0.004868
19461130,-0.002611
19461231,0.047289
19470131,0.022015
19470228,-0.008307
19470331,-0.015009
19470430,-0.039563
19470529,-0.000992
19470630,0.053993
19470731,0.039573
19470829,-0.023077
19470930,-0.009929
19471031,0.020577
19471129,-0.017637
19471231,0.030786
19480131,-0.037742
19480228,-0.040231
19480331,0.081441
19480430,0.030818
19480528,0.084019
19480630,0.007665
19480730,-0.052248
19480831,0.015514
19480930,-0.026982
19481030,0.069962
19481130,-0.098347
19481231,0.035954
19490131,0.002675
19490228,-0.031640
19490331,0.033982
19490430,-0.018691
19490531,-0.029424
19490630,0.001744
19490729,0.062732
19490831,0.021799
19490930,0.027414
19491031,0.029780
19491130,0.020740
19491231,0.050985
19500131,0.019703
19500228,0.019604
19500331,0.008185
19500429,0.045887
19500531,0.046901
19500630,-0.054224
19500731,0.016981
19500831,0.048063
19500929,0.059466
19501031,0.005084
19501130,0.022430
19501230,0.055425
19510131,0.065105
19510228,0.014546
19510331,-0.017484
19510430,0.049108
19510531,-0.029979
19510629,-0.025848
19510731,0.070934
19510831,0.050220
19510928,0.002868
19511031,-0.013321
19511130,0.011388
19511231,0.041815
19520131,0.017768
19520229,-0.025241
19520331,0.052805
19520430,-0.041423
19520529,0.033698
19520630,0.047832
19520731,0.019129
19520829,-0.005674
19520930,-0.018085
19521031,0.000320
19521128,0.061382
19521231,0.038215
19530130,-0.006207
19530227,-0.007540
19530331,-0.022288
19530430,-0.025308
19530529,0.007401
19530630,-0.014266
19530731,0.026314
19530831,-0.050101
19530930,0.002187
19531030,0.051046
19531130,0.023764
19531231,0.001713
19540129,0.053486
19540226,0.012916
19540331,0.030530
19540430,0.048358
19540528,0.042777
19540630,0.002467
19540730,0.058701
19540831,-0.025894
19540930,0.082500
19541029,-0.017867
19541130,0.095774
19541231,0.054288
19550131,0.018076
19550228,0.013526
19550331,-0.002242
19550429,0.039843
19550531,0.006433
19550630,0.081300
19550729,0.057646
19550831,-0.000648
19550930,0.011286
19551031,-0.030468
19551130,0.087825
19551230,-0.000309
19560131,-0.035057
19560229,0.041397
19560329,0.070328
19560430,-0.000637
19560531,-0.058414
19560629,0.038910
19560731,0.051427
19560831,-0.032788
19560928,-0.044022
19561031,0.006619
19561130,-0.001921
19561231,0.036284
19570131,-0.040238
19570228,-0.024919
19570329,0.023798
19570430,0.046409
19570531,0.038629
19570628,-0.000780
19570731,0.009676
19570830,-0.048926
19570930,-0.057914
19571031,-0.038641
19571129,0.023551
19571231,-0.037522
19580131,0.045882
19580228,-0.013963
19580331,0.033120
19580430,0.033448
19580529,0.021308
19580630,0.028022
19580731,0.044040
19580829,0.017888
19580930,0.050777
19581031,0.027720
19581128,0.028534
19581231,0.053855
19590130,0.006422
19590227,0.006793
19590331,0.003184
19590430,0.040104
19590529,0.023510
19590630,-0.000861
19590731,0.034324
19590831,-0.011055
19590930,-0.043064
19591030,0.012502
19591130,0.018378
19591231,0.029575
19600129,-0.070043
19600229,0.013668
19600331,-0.012590
19600429,-0.016174
19600531,0.033388
19600630,0.022049
19600729,-0.022950
19600831,0.031519
19600930,-0.058643
19601031,-0.001190
19601130,0.045926
19601230,0.048751
19610131,0.064234
19610228,0.032804
19610330,0.029315
19610428,0.004566
19610531,0.023462
19610630,-0.026676
19610731,0.033758
19610831,0.024769
19610929,-0.018683
19611031,0.028297
19611130,0.045141
19611229,0.004733
19620131,-0.037395
19620228,0.020573
19620330,-0.003823
19620430,-0.061767
19620531,-0.079923
19620629,-0.080691
19620731,0.065282
19620831,0.021669
19620928,-0.048816
19621031,0.008313
19621130,0.108268
19621231,0.015534
19630131,0.050367
19630228,-0.024189
19630329,0.036581
19630430,0.049070
19630531,0.019674
19630628,-0.018605
19630731,-0.001821
19630830,0.053466
19630930,-0.010402
19631031,0.034825
19631129,-0.004487
19631231,0.026065
19640131,0.027391
19640228,0.017015
19640331,0.017232
19640430,0.006192
19640528,0.016815
19640630,0.018084
19640731,0.018910
19640831,-0.011621
19640930,0.030399
19641030,0.008745
19641130,0.001598
19641231,0.005228
19650129,0.034791
19650226,0.003746
19650331,-0.012213
19650430,0.035612
19650528,-0.003122
19650630,-0.046880
19650730,0.014486
19650831,0.027560
19650930,0.033366
19651029,0.028812
19651130,-0.003821
19651231,0.010349
19660131,0.005705
19660228,-0.012750
19660331,-0.023041
19660429,0.022158
19660531,-0.049140
19660630,-0.014380
19660729,-0.012129
19660831,-0.071650
19660930,-0.006244
19661031,0.048333
19661130,0.011223
19661230,0.000326
19670131,0.079215
19670228,0.007514
19670331,0.041137
19670428,0.043371
19670531,-0.046810
19670630,0.019319
19670731,0.046454
19670831,-0.006824
19670929,0.033815
19671031,-0.027448
19671130,0.006435
19671229,0.027079
19680131,-0.041875
19680229,-0.026900
19680329,0.009696
19680430,0.084092
19680531,0.016374
19680628,0.009916
19680730,-0.017444
19680830,0.016415
19680930,0.039351
19681031,0.008587
19681129,0.053580
19681231,-0.040826
19690131,-0.007547
19690228,-0.042321
19690328,0.034847
19690430,0.022771
19690529,0.003854
19690630,-0.054357
19690731,-0.058632
19690829,0.045728
19690930,-0.023941
19691031,0.046900
19691128,-0.029152
19691231,-0.016922
19700130,-0.075398
19700227,0.059521
19700331,0.002806
19700430,-0.088831
19700529,-0.054689
19700630,-0.049032
19700731,0.075523
19700831,0.049778
19700930,0.034702
19701030,-0.009032
19701130,0.054387
19701231,0.058684
19710129,0.042828
19710226,0.013317
19710331,0.039068
19710430,0.036965
19710528,-0.037150
19710630,0.002439
19710730,-0.040827
19710831,0.042036
19710930,-0.005038
19711029,-0.040129
19711130,0.002898
19711231,0.087880
19720131,0.019088
19720229,0.030221
19720330,0.007315
19720428,0.005476
19720531,0.022019
19720630,-0.020156
19720731,0.003245
19720831,0.039425
19720929,-0.003277
19721031,0.010878
19721130,0.050297
19721229,0.013663
19730131,-0.016752
19730228,-0.033818
19730330,-0.001093
19730430,-0.040064
19730531,-0.013950
19730629,-0.005178
19730731,0.039128
19730831,-0.031544
19730928,0.042219
19731031,0.000312
19731130,-0.107220
19731231,0.017971
19740131,-0.008120
19740228,0.001992
19740329,-0.021818
19740430,-0.037649
19740531,-0.026896
19740628,-0.012816
19740731,-0.076698
19740830,-0.082177
19740930,-0.117511
