# http://www.arrs.net/SA_Mara.htm
#  World Single Age Records- Marathon  (20 Jan 2011)
# marathon        <- read.csv("/home/foster/public_html_gosset/teaching/471/marathons.csv",skip=7)
# marathon$time   <- 60 * marathon$timeH + marathon$timeM + marathon$timeS/60
# marathon$age    <-  marathon$ageYears + marathon$ageDays / 395
# marathon$color  <- c("blue","pink")[(marathon$sex == "men") + 2 * (marathon$sex == "wmn")]
# plot(marathon$age, marathon$time, col = marathon$col,log="y")
sex,ageYears,ageDays,timeH,timeM,timeS,name,country,Bdate,Rdate,location
men,62,202,2,41,07,John Gilmour,AUS,03 May 1919,21 Nov 1981,Albany AUS
men,63,46,2,46,50,Manuel Rosales,ESP,04 Aug 1935,19 Sep 1998,Cesenatico ITA
men,64,72,2,42,44,Clive Davies,USA,17 Aug 1915,28 Oct 1979,Portland OR USA
men,65,129,2,41,57,Derek Turnbull,NZL,05 Dec 1926,12 Apr 1992,London ENG
men,66,27,2,42,49,Clive Davies,USA,17 Aug 1915,13 Sep 1981,Eugene OR USA
men,67,45,2,51,07,Luigi Passerini,ITA,22 Feb 1923,08 Apr 1990,Mirandola ITA
men,68,253,2,51,02,Ed Whitlock,CAN,06 Mar 1931,14 Nov 1999,Columbus OH/USA
men,69,237,2,52,50,Ed Whitlock,CAN,06 Mar 1931,29 Oct 2000,Columbus OH USA
men,70,68,3,00,23,Ed Whitlock,CAN,06 Mar 1931,13 May 2001,New London ON CAN
men,71,306,3,00,58,John Keston,GBR,05 Dec 1924,06 Oct 1996,St Paul MN USA
men,72,206,2,59,09.3,Ed Whitlock,CAN,06 Mar 1931,28 Sep 2003,Toronto ON CAN
men,73,204,2,54,48.3,Ed Whitlock,CAN,06 Mar 1931,26 Sep 2004,Toronto ON CAN
men,74,35,2,58,40.0,Ed Whitlock,CAN,06 Mar 1931,10 Apr 2005,Rotterdam NED
men,75,202,3,08,34.5,Ed Whitlock,CAN,06 Mar 1931,24 Sep 2006,Toronto ON CAN
men,76,40,3,04,53.4,Ed Whitlock,CAN,06 Mar 1931,15 Apr 2007,Rotterdam NED
men,77,143,3,33,27,Ed Benham,USA,12 Jul 1907,02 Dec 1984,San Diego CA USA
men,78,101,3,36,59,Warren Utes,USA,25 Jun 1920,04 Oct 1998,St Paul MN USA
men,79,85,3,49,23,Ed Benham,USA,12 Jul 1907,05 Oct 1986,Richmond BC CAN
men,80,23,3,39,18,Robert Horman,AUS,01 May 1918,24 May 1998,Brisbane AUS
men,81,202,3,47,04,Gordon Porteous,SCO,20 Feb 1914,10 Sep 1995,Greenock ENG
men,82,88,3,48,35,Ed Benham,USA,12 Jul 1907,08 Oct 1989,St Paul MN USA
men,83,158,4,31,48,Andre Osselaer,SWE,03 Mar 1916,08 Aug 1999,Gateshead ENG
men,84,86,4,17,51,Ed Benham,USA,12 Jul 1907,06 Oct 1991,St Paul MN USA
men,85,69,5,11,04,Henry Sypniewski,USA,07 Jul 1918,14 Sep 2003,Erie PA USA
men,86,64,4,34,55,Robert Horman,AUS,01 May 1918,04 Jul 2004,Brisbane AUS
men,87,201,5,12,59,Pail Spangler,USA,18 Mar 1899,05 Oct 1986,Richmond BC CAN
men,89,94,6,35,38,Sam Gadless,USA,30 Nov 1906,03 Mar 1996,Los Angeles CA USA
men,91,13,6,45,31,Fauja Singh,ENG,01 Apr 1911,14 Apr 2002,London ENG
men,92,180,5,40,04,Fauja Singh,ENG,01 Apr 1911,26 Sep 2003,Toronto CAN
men,93,17,6,07,13,Fauja Singh,ENG,01 Apr 1911,18 Apr 2004,London ENG
wmn,5,261,4,56,36,Jennifer Amyx,USA,16 Jan 1970,04 Oct 1975,Johnstown PA USA
wmn,6,260,4,00,36,Jennifer Amyx,USA,16 Jan 1970,02 Oct 1976,Johnstown PA USA
wmn,7,315,3,51,54,Jennifer Amyx,USA,16 Jan 1970,27 Nov 1977,Philadelphia PA USA
wmn,8,350,3,13,24,Tabitha Francks,USA,24 Nov 1974,13 Nov 1983,Asbury Park NJ USA
wmn,9,182,3,11,01,Julie Mullin,USA,30 Aug 1966,28 Feb 1976,Seaside OR USA
wmn,10,180,2,58,01,Julie Mullin,USA,30 Aug 1966,26 Feb 1977,Seaside OR USA
wmn,11,179,3,02,47,Julie Mullin,USA,30 Aug 1966,25 Feb 1978,Seaside OR USA
wmn,12,161,2,54,03,Manuela Zipse-Veith,GER,11 May 1974,19 Oct 1986,Echternach LUX
wmn,13,304,2,44,03,Kyung-Hee Kim,KOR,15 May 1973,15 Mar 1987,Seoul KOR
wmn,14,105,2,33,08,Xin Wei,CHN,07 Jul 1988,20 Oct 2002,Beijing CHN
wmn,15,213,2,29,41,Mei-yu Shen,CHN,21 Mar 1987,20 Oct 2002,Beijing CHN
wmn,16,328,2,31,51,Li-nan Wang,CHN,26 Nov 1985,20 Oct 2002,Beijing CHN
